Province,Infected,Active,Recovered,Deaths,Active Ratio(%),Recover ratio(%),Death Ratio(%)
Hà Nội,744,213,512,18,28.62903226,68.8172043,2.419354839
Hà Giang,4,1,3,0,25,75,0
Bắc Kạn,5,5,0,0,100,0,0
Tuyên Quang,1,0,1,0,0,100,0
Lào Cai,6,4,2,0,66.66666667,33.33333333,0
Điện Biên,59,13,46,0,22.03389831,77.96610169,0
Lai Châu,1,0,1,0,0,100,0
Sơn La,1,1,0,0,100,0,0
Yên Bái,5,0,5,0,0,100,0
Hoà Bình,39,6,33,0,15.38461538,84.61538462,0
Thái Nguyên,9,1,8,0,11.11111111,88.88888889,0
Lạng Sơn,110,91,18,1,82.72727273,16.36363636,0.909090909
Quảng Ninh,99,12,87,0,12.12121212,87.87878788,0
Bắc Giang,5768,2608,3153,7,45.2149792,54.66366158,0.121359223
Phú Thọ,8,3,5,0,37.5,62.5,0
Vĩnh Phúc,113,63,50,0,55.75221239,44.24778761,0
Bắc Ninh,1633,627,997,9,38.39559094,61.05327618,0.551132884
Hải Dương,813,12,801,0,1.47601476,98.52398524,0
Hải Phòng,24,12,12,0,50,50,0
Hưng Yên,166,99,67,0,59.63855422,40.36144578,0
Thái Bình,76,21,55,0,27.63157895,72.36842105,0
Hà Nam,56,12,44,0,21.42857143,78.57142857,0
Nam Định,26,8,18,0,30.76923077,69.23076923,0
Ninh Bình,51,14,37,0,27.45098039,72.54901961,0
Thanh Hóa,31,5,26,0,16.12903226,83.87096774,0
Nghệ An,127,122,5,0,96.06299213,3.937007874,0
Hà Tĩnh,128,120,8,0,93.75,6.25,0
Quảng Trị,18,5,12,1,27.77777778,66.66666667,5.555555556
Thừa Thiên Huế,7,1,6,0,14.28571429,85.71428571,0
Đà Nẵng,749,100,614,32,13.35113485,81.97596796,4.272363151
Quảng Nam,136,11,122,3,8.088235294,89.70588235,2.205882353
Quảng Ngãi,124,117,7,0,94.35483871,5.64516129,0
Bình Định,15,14,1,0,93.33333333,6.666666667,0
Phú Yên,245,217,28,0,88.57142857,11.42857143,0
Khánh Hòa,178,50,128,0,28.08988764,71.91011236,0
Ninh Thuận,13,1,12,0,7.692307692,92.30769231,0
Bình Thuận,25,14,11,0,56,44,0
Gia Lai,31,4,27,0,12.90322581,87.09677419,0
Đắk Lắk,8,4,4,0,50,50,0
Lâm Đồng,4,4,0,0,100,0,0
Bình Phước,3,3,0,0,100,0,0
Tây Ninh,154,111,42,1,72.07792208,27.27272727,0.649350649
Bình Dương,680,635,45,0,93.38235294,6.617647059,0
Đồng Nai,96,65,31,0,67.70833333,32.29166667,0
Bà Rịa - Vũng Tàu,152,29,123,0,19.07894737,80.92105263,0
Hồ Chí Minh,6372,5755,603,14,90.31701193,9.463276836,0.219711237
Long An,209,196,11,2,93.77990431,5.263157895,0.956937799
Tiền Giang,174,168,5,1,96.55172414,2.873563218,0.574712644
Bến Tre,20,2,18,0,10,90,0
Trà Vinh,19,11,8,0,57.89473684,42.10526316,0
Vĩnh Long,29,16,13,0,55.17241379,44.82758621,0
Đồng Tháp,92,64,27,1,69.56521739,29.34782609,1.086956522
An Giang,55,46,9,0,83.63636364,16.36363636,0
Kiên Giang,94,70,24,0,74.46808511,25.53191489,0
Cần Thơ,35,1,34,0,2.857142857,97.14285714,0
Sóc Trăng,19,19,0,0,100,0,0
Bạc Liêu,56,3,53,0,5.357142857,94.64285714,0
Cà Mau,9,1,8,0,11.11111111,88.88888889,0
